Funder,Policy,Cached,2022,2023,2024,Overall
Ontario Institute for Cancer Research,http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html,/mandates/oicr_ca-2021-10-22-en.pdf,77%,77%,84%,69%
"Vienna Science and Technology Fund, Austria",https://wiki.wwtf.at/books/open-science-policy/page/open-science-policy-gultig-ab-932022,/mandates/wwtf_at-2021-08-14-en.pdf,81%,85%,82%,79%
Damon Runyon Cancer Research Foundation,https://www.damonrunyon.org/sites/default/files/Frey%20Award%20Statement%20-%20June%202019_3.pdf,/mandates/damon_runyan_us-2021-02-13.pdf,76%,79%,79%,78%
European & Developing Countries Clinical Trials Partnership,http://www.edctp.org/web/app/uploads/2022/02/EDCTP2_policy_on_registering_and_reporting_clinical_studies-v2.pdf,/mandates/edctp_eu-2022-04-17.pdf,76%,71%,68%,70%
"V Foundation, USA",,/mandates/vcancer_us-2021-02-13.pdf,78%,80%,75%,78%
Diabetes UK,https://www.diabetes.org.uk/resources-s3/2017-09/policy%2520-%2520open%2520access%2520-%2520nov%25202014.docx,/mandates/diabetes_uk-2021-02-13.pdf,67%,65%,57%,59%
"Health Data Research, UK",https://www.hdruk.ac.uk/about-us/policies/open-access-statement/,/mandates/health_data_uk-2021-08-20.pdf,73%,68%,69%,68%
Swedish Environmental Protection Agency,https://www.naturvardsverket.se/contentassets/ef398cdea3d945bb8aff8c8903b30655/instructions-for-applicants-programme-2021-v-2021-10-04.pdf,/mandates/epa_se-2021-02-13-en.pdf,97%,93%,95%,87%
"Parkinson's Foundation, USA",https://www.parkinson.org/advancing-research/finding-cure/public-access-policy,/mandates/parkinson_us-2022-12-21.pdf,62%,70%,70%,64%
Swedish Foundation for Strategic Environmental Research,https://mistra.org/om-mistra/,/mandates/mistra_se-2022-12-26.pdf,92%,94%,94%,85%
"AXA Research Fund, France",https://arfv2.cdn.axa-contento-118412.eu/arfv2%2Fa29a5cf8-3514-4e98-a756-e89d277c4a25_open+acess+policy.pdf,/mandates/axa_fr-2021-03-31-en.pdf,93%,95%,91%,92%
Kone Foundation,https://koneensaatio.fi/en/grants/forgrantrecipients/acceptance-and-use-of-the-grant/,/mandates/kone_fi-2022-12-26-en.pdf,93%,91%,93%,92%
"Knowledge Foundation, Sweden",https://www.kks.se/ansokan-och-bedomning/oppen-tillgang-till-forskningsresultat-open-access/,/mandates/knowledge_found_se-2022-12-26-sv.pdf,88%,88%,78%,83%
"Dunhill Medical Trust, UK",https://dunhillmedical.org.uk/wp-content/uploads/2016/12/OA-policy_July14.pdf,/mandates/dunhill_uk-2021-02-13.pdf,68%,67%,61%,57%
"Grand Challenges, Canada",https://www.grandchallenges.ca/wp-content/uploads/globalaccesspolicy_2012Apr04_EN.pdf,/mandates/grandchallenges_ca-2023-03-22.pdf,78%,84%,86%,74%
"Worldwide Cancer Research, UK",https://www.worldwidecancerresearch.org/media/1589/20191001openaccesspolicyfinal.pdf,/mandates/worldwidecancer_uk-2021-02-13.pdf,70%,71%,59%,65%
African Academy of Sciences,https://www.aasciences.africa/policies/open-access-and-publishing-policy,/mandates/aas_int-2021-02-13.pdf,95%,91%,95%,93%
Marianne and Marcus Wallenberg Foundation,https://mmw.wallenberg.org/en/funding-guide,/mandates/mmw_se-2021-02-13-en.pdf,92%,95%,93%,90%
"National Centre for the Replacement, Refinement and Reduction of Animals in Research, UK",https://www.nc3rs.org.uk/reporting-requirements-and-publications,/mandates/nc3rs_uk-2022-07-08.pdf,76%,81%,73%,70%
Blood Cancer UK,https://bloodcancer.org.uk/research/open-access/,/mandates/bloodcancer_uk-2021-02-13.pdf,72%,73%,59%,68%
Swiss Cancer Foundation,https://www.krebsforschung.ch/forschungsfoerderung/wie-reiche-ich-ein-forschungsgesuch-ein/-dl-/fileadmin/downloads/forschungsfoerderung/information-sheet-grants-KFS.pdf,/mandates/scf_ch-2021-02-13-en.pdf,85%,85%,89%,82%
"Florida Department of Health, USA",http://www.floridahealth.gov/provider-and-partner-resources/research/Grant%20Manual%20FINAL.pdf,/mandates/florida_health_us-2021-03-31.pdf,65%,69%,70%,68%
"Breast Cancer Now, UK",https://breastcancernow.org/sites/default/files/revised_bcn_open_access_policy_sept_16_0.pdf,/mandates/breastcancernow_uk-2021-02-13.pdf,74%,66%,65%,68%
"Motor Neurone Disease Association, UK",https://www.mndassociation.org/research/for-researchers/resources-for-researchers/europe-pmc-open-access/,/mandates/mnda_uk-2021-02-13.pdf,69%,60%,70%,60%
"Ministry of Health, Singapore",https://www.moh.gov.sg/docs/librariesprovider5/research-grants/terms-and-conditions-of-a-competitive-grant_tcmrg-(jan-2017).pdf,/mandates/ministry_health_sg-2021-12-05.pdf,74%,72%,71%,69%
Swedish National Space Agency,https://www.rymdstyrelsen.se/contentassets/4e7109961dbf4b5abd71c40914e060db/research-calls-in-spring-2019.pdf,/mandates/snsa_se-2022-01-23-en.pdf,98%,95%,99%,95%
Templeton World Charity Foundation,https://www.templetonworldcharity.org/open-access-policy,/mandates/templeton_found-2021-02-13.pdf,92%,92%,93%,90%
Prostate Cancer UK,https://prostatecanceruk.org/research/for-researchers/for-grant-holders,/mandates/prostate-cancer_uk-2021-02-13.pdf,62%,64%,64%,52%
Alex's Lemonade Stand,https://www.alexslemonade.org/sites/default/files/images/2020/alsf_resource_sharing_policy.pdf,/mandates/al_stand_found_us-2021-08-21.pdf,91%,92%,96%,92%
"Aligning Science Across Parksinson's, USA",https://parkinsonsroadmap.org/open-access-policy/,/mandates/asap-2021-02-13.pdf,91%,94%,94%,91%
Danish National Advanced Technology Foundation,https://www.dg.dk/filer/fonden/open_access/Final%20Open%20Access%20policy%20English.pdf,/mandates/dnatf_dk-2021-02-13-en.pdf,79%,75%,83%,50%
"Academy of Medical Sciences, UK",https://acmedsci.ac.uk/file-download/38304-57dbc41c3335b.pdf,/mandates/acmedsci_uk-2021-02-13.pdf,60%,57%,54%,59%
Health and Care Research Wales,https://healthandcareresearchwales.org/sites/default/files/2022-03/Health_and_Care_Research_Wales_Open_Access_Policy_2022_eng.pdf,/mandates/health_care_wales_uk-2022-04-17.pdf,73%,62%,54%,56%
"World Cancer Researh Fund, UK",https://www.wcrf.org/sites/default/files/wcrf-grants-terms-conditions-2019.pdf,/mandates/wrcf_uk-2021-03-31.pdf,94%,94%,96%,93%
"Environmental Protection Agency, Ireland",hhttps://www.epa.ie/our-services/research/epa-research-2030/strategies-and-policies/open-access-policy/,/mandates/epa_ie-2022-12-26.pdf,91%,94%,91%,86%
Multiple Sclerosis Society of Canada,https://mssociety.ca/library/document/Ue1EAmktGxz6lyHgFKhfQSD3LXsnqVdO/original.pdf,/mandates/ms_society_ca-2021-02-13.pdf,76%,79%,88%,76%
Melanoma Research Alliance,https://www.curemelanoma.org/assets/Uploads/TermsandConditions2021.pdf,/mandates/melanoma_alliance_us-2021-08-21.pdf,70%,74%,63%,69%
"Yorkshire Cancer Research, UK",https://www.yorkshirecancerresearch.org.uk/perch/resources/admin/policies-for-awards-2021-final.pdf,/mandates/yorkshirecancer_uk-2021-02-13.pdf,71%,74%,70%,67%
Prostate Cancer Canada,,/mandates/prostatecancercanada-2021-02-13.pdf,78%,80%,95%,76%
Marcus and Amalia Wallenberg Foundation,https://maw.wallenberg.org/en/funding-guide,/mandates/maw_se-2021-02-13-en.pdf,89%,95%,92%,90%
Children's Investment Fund Foundation,https://ciff.org/wp-content/uploads/2019/09/CIFF_TransparencyPolicy_ImplementationGuide_310117-1.pdf,/mandates/ciff_found-2022-05-14.pdf,98%,98%,96%,94%
"Multiple Sclerosis Society, UK",https://www.mssociety.org.uk/sites/default/files/2020-09/Award-conditions-and-policies.pdf,/mandates/mssociety_uk-2021-02-13.pdf,56%,47%,56%,48%
"Lymphoma Research Foundation, USA",https://lymphoma.org/wp-content/uploads/2018/05/LRF-Master-Policy-TC-Research-Grants-generic-2019.pdf,/mandates/lymphoma_us-2021-02-13.pdf,85%,71%,72%,71%
US Assistant Secretary for Preparedness and Response,https://sparcopen.org/wp-content/uploads/2016/04/ASPRAccessPlan.pdf,/mandates/phe-2021-02-13.pdf,71%,78%,60%,63%
"Brain Tumour Charity, UK",https://assets.thebraintumourcharity.org/live/media/filer_public/3a/13/3a13c7d4-2f5d-499f-8bb5-82beef3dcb69/terms_and_conditions_of_award_for_research_grants_v8_24042015_website.pdf,/mandates/brain_tumour_uk-2021-03-31.pdf,98%,98%,97%,95%
"Pancreatic Cancer Action Network, USA",https://www.pancan.org/wp-content/uploads/2014/04/Public-Access-Publication-Policy.pdf,/mandates/pancan_us-2021-02-13.pdf,71%,81%,75%,77%
Champalimaud Foundation,https://www.fchampalimaud.org/champalimaud-research/about-cr/open-access-policy,/mandates/fchampalimaud_pt-2022-07-08.pdf,93%,98%,95%,91%
Canadian Foundation for Healthcare Improvement,,/mandates/cfhi_ca-2018-01-28-en.pdf,63%,68%,89%,76%
Swiss Federal Office for the Environment,https://www.bafu.admin.ch/dam/bafu/en/dokumente/elektrosmog/fachinfo-daten/Funding%20of%20research%20on%20the%20effects%20of%20non-ionising%20radiation%20on%20health%20and%20the%20environment.pdf.download.pdf/Funding%20of%20research%20on%20the%20effects%20of%20non-ionising%20radiation%20on%20health%20and%20the%20environment%20(In%20English).pdf,/mandates/foen_ch-2023-02-22.pdf,93%,91%,90%,92%
"Dam Foundation, Norway",https://dam.no/krav-om-apen-publisering-av-vitenskapelige-artikler/,/mandates/dam_no-2021-10-24-no.pdf,95%,98%,95%,94%
"Ministry of Science and Higher Education, Ethiopia",https://www.codataatg.or.ke/sites/default/files/OA-Policy-11-Oct-2019.pdf,/mandates/moshe_et-2021-02-13.pdf,89%,84%,86%,85%
"Brain Research, UK",https://uploads-ssl.webflow.com/5d03644bbebda845c6bba4d1/5fa12e3fa80d2cf9b522a312_BRUK%20project%20grant%20terms%20and%20conditions%20April%202020.pdf,/mandates/brain_research_uk-2021-04-01.pdf,95%,97%,96%,96%
Foundation for Baltic and East European Studies,https://ostersjostiftelsen.se/en/for-researchers/open-access/,/mandates/oster_sv-2021-02-13-en.pdf,89%,85%,88%,80%
"Children's Tumor Foundation, USA",https://docs.google.com/document/d/11ZxqnX8E8_boLyCd1uh364wKOktQNyBlLQoIm4vPMDM/edit,/mandates/children_tumor_found_us-2021-02-13.pdf,94%,89%,85%,88%
MQ Mental Health Research,https://www.mqmentalhealth.org/wp-content/uploads/2020-MQ-Open-Access-Policy.pdf,/mandates/mq_mental_health_uk-2021-09-30.pdf,79%,69%,52%,66%
American Brain Tumor Association,https://www.abta.org/wp-content/uploads/2020/10/2021-ABTA-Policies-and-Procedures.pdf,/mandates/american_brain_tumor_us-2021-08-21.pdf,69%,80%,81%,76%
Austrian Partnership Programme in Higher Education & Research for Development,https://appear.at/en/implementation/open-access/,/mandates/appear_at-2021-02-13-en.pdf,84%,86%,76%,89%
"Action on Hearing Loss, UK",,/mandates/actionhearing_uk-2018-01-28.pdf,67%,64%,17%,64%
"Pancreatic Cancer, UK",https://www.pancreaticcancer.org.uk/wp-content/uploads/2020/09/open-access-policy-2019-1.pdf,/mandates/pancreatic-cancer-uk-2021-8-14.pdf,65%,79%,53%,61%
"The Donaghue Foundation, USA",https://donaghue.org/wp-content/uploads/Public-Access-Policy.pdf,/mandates/donaghue_us-2021-02-13.pdf,55%,57%,52%,63%
"LUNGevity Foundation, USA",https://www.lungevity.org/about-us/financial-legal-disclosures/public-access-to-research-policy,/mandates/lungevity_us-2021-02-13.pdf,73%,78%,67%,77%
"Alberta Conservation Association, Canada",https://www.ab-conservation.com/grants/grants-in-biodiversity/recipients/,/mandates/alberta_conservation_ca-2021-10-03.pdf,80%,87%,88%,83%
"Lung Cancer Research Foundation, USA",https://www.lungcancerresearchfoundation.org/wp-content/uploads/RFP-2020ResearchGrantDisparitiesLungCancerFINAL.pdf,/mandates/lrcf_us-2021-02-13.pdf,73%,79%,75%,76%
"Jules Thorn Trust, UK",https://julesthorntrust.org.uk/wp-content/uploads/2019/04/SJTCT-Open-Access-Publishing-Policy.pdf,/mandates/jules_thorn_uk-2021-04-18.pdf,98%,98%,93%,94%
"Stroke Association, UK",https://www.stroke.org.uk/sites/default/files/form_pg6_project_grant_conditions_of_award_2015_16_1.pdf,/mandates/stroke_uk-2021-02-13.pdf,50%,61%,48%,53%
"National Environment Agency, Singapore",https://www.nea.gov.sg/docs/default-source/envision/tncs-for-competitive-grants-(uss-if).pdf,/mandates/nea_sg-2021-12-05.pdf,63%,48%,45%,41%
"Marie Curie Cancer Care, UK",https://www.mariecurie.org.uk/globalassets/media/documents/research/funding-for-research/marie-curie-oa-policy-2020.pdf,/mandates/mariecurie_uk-2021-02-13.pdf,73%,88%,50%,59%
Swedish Farmers' Foundation for Agricultural Research,https://static-lantbruksforskning.s3-eu-west-1.amazonaws.com/uploads/attachments/handbook_layout_final.pdf,/mandates/lantbruksforskning_se-2021-10-03-en.pdf,93%,93%,100%,95%
"Arcadia Fund, UK",https://www.arcadiafund.org.uk/open-access-digital-preservation-policy,/mandates/arcadia_uk-2021-02-13.pdf,75%,96%,100%,86%
Abdul Latif Jameel Poverty Action Lab,https://www.povertyactionlab.org/sites/default/files/Award%20Requirements%20and%20Set%20Up%20Process.pdf,/mandates/poverty_lab_us-2021-12-05.pdf,98%,92%,93%,93%
"Autism Science Foundation, USA",https://autismsciencefoundation.org/grantee-resources/,/mandates/autism_science_us-2022-07-11.pdf,97%,100%,97%,93%
Citizen’s United for Research in Epilepsy,https://www.cureepilepsy.org/wp-content/uploads/2019/09/CURE-Grant-Policy.pdf,/mandates/cure_found_us-2021-10-04.pdf,75%,55%,65%,70%
"Children’s Cancer and Leukaemia Group, UK",https://www.cclg.org.uk/write/MediaUploads/Research/Documents/CCLG_Grant_Terms_and_Conditions_-_November_2016.pdf,/mandates/cclg_uk-2021-12-05.pdf,88%,94%,96%,93%
"British Orthopaedic Association, UK",,/mandates/british_orthopedic_uk-2021-04-18.pdf,75%,93%,75%,79%
"Royal National Institute for Deaf People, UK",https://rnid.org.uk/wp-content/uploads/2020/11/OpenAccessPolicy2020.pdf,/mandates/rnid_uk-2021-02-13.pdf,69%,72%,53%,63%
ME Research UK,https://www.meresearch.org.uk/wp-content/uploads/2021/07/Standard-Grant-Conditions-2021.pdf,/mandates/me_research_uk-2021-10-03.pdf,78%,50%,60%,54%
Swedish-Norwegian Foundation for Equine Research,https://hastnaringen.se/app/uploads/sites/5/2019/03/handbookshf-190328.pdf,/mandates/hastforskning_se-2021-10-24.pdf,82%,93%,100%,87%
Berit Wallenberg Foundation,https://bws.wallenberg.org/anslagsguide,/mandates/berit_wallenberg_se-2021-10-03-se.pdf,83%,100%,100%,85%
"National Health Innovation Centre, Singapore",https://nhic.sg/web/images/NHIC/documents/NRFCentralGap/IE_Terms_and_Conditions_V2.0_1.pdf,/mandates/nhic_sg-2021-12-05.pdf,85%,67%,60%,74%
"European Hematology Association, Netherlands",https://ehaweb.org/assets/EHA-Research-Grants-Terms-Conditions-2020.pdf,/mandates/eha_nl-2021-08-14-en.pdf,67%,67%,60%,61%
"Myrovlytis Trust, UK",https://www.myrovlytistrust.org/wp-content/uploads/2011/06/Open-Access-Policy-20122.pdf,/mandates/myrovlytis_uk-2021-02-13.pdf,100%,40%,67%,59%
"Tuberous Sclerosis Alliance, USA",https://www.tsalliance.org/wp-content/uploads/2019/03/TS-Alliance-Open-Science-Policy-Approved.pdf,/mandates/tuberous_sclerosis_us-2021-02-13.pdf,100%,88%,83%,77%
Huntington Society of Cansda,https://www.huntingtonsociety.ca/wp-content/uploads/2021/04/NAVIGATOR-2021-Terms-of-Reference-Web.pdf,/mandates/huntington_society_ca-2021-08-20.pdf,100%,100%,75%,87%
"Workforce Development Applied Research Fund, Singapore",https://www.ial.edu.sg/getmedia/ba01ec87-23b8-42f0-bccf-49f104446830/2022-WDARF-Admin-Guidelines_Final.pdf,/mandates/wdarf_sg-2022-12-26.pdf,69%,56%,41%,59%
"de Beaumont Foundation, USA",https://debeaumont.org/wp-content/uploads/2019/05/Grant-Policies-and-Procedures-2017.pdf,/mandates/beaumont_us-2021-03-31.pdf,86%,100%,100%,85%
"Medical Research Foundation, UK",https://www.medicalresearchfoundation.org.uk/uploads/Medical-Research-Foundation-Open-Access-Policy.pdf,/mandates/mrf_uk-2022-07-01.pdf,82%,67%,57%,63%
International FOP Association,https://www.ifopa.org/tags/research_page,/mandates/ifopa_us-2021-08-14.pdf,83%,43%,83%,75%
"Target Ovarian Cancer, UK",https://targetovariancancer.org.uk/research/our-policies,/mandates/toc_uk_2021_02_13.pdf,63%,70%,25%,46%
NBIA Disorders Association,https://www.lipidmaps.org/fundingopportunities/2017NBIAGrantApplication-BPAN-FAHN.doc,/mandates/nbia_us_2022-07-02.doc,50%,75%,57%,62%
Coeliac UK,https://www.coeliac.org.uk/document-library/6966-grant-terms-and-condtions/grant-terms-and-conditions-june-2021.pdf,/mandates/coeliac_uk-2021-12-05.pdf,100%,67%,50%,63%
Siegel Rare Neuroimmune Association,https://wearesrna.org/apply-to-srnas-progress-grant-for-nmosd/,/mandates/srna_found_us-2021-10-04.pdf,80%,100%,43%,69%
"Human Milk Foundation, UK",,/mandates/human_milk_uk-2021-12-05.pdf,100%,-,100%,80%
"Lymph&Co Foundation, NL",https://www.lymph-co.com/wp-content/uploads/2021/04/Terms-and-conditions-LymphCo-2021.pdf,/mandates/lymph_co_found_nl-2021-12-05.pdf,-,100%,-,100%
"Grace Kelly Childhood Cancer Trust, UK",https://www.gkcct.org/wp-content/uploads/2022/09/GKCCT-Research-Terms-and-Conditions-2022-1.pdf,/mandates/gkelly_cancer_uk-2022-12-26.pdf,-,100%,-,100%
